created_at	user_screen_name	user_name	text
Mon Aug 31 22:04:48 +0000 2020	Olivia_27215	🅾🅻🅸🆅🅸🅰 🅹🅾🅽🅴🆂 🎀	Be The Change You Wish To See In The World. #Happy https://t.co/mJJxho9nOz
Mon Aug 31 22:09:05 +0000 2020	Nicole_67780	🅽🅸🅲🅾🅻🅴 🆆🅸🅻🆂🅾🅽 👙	Sunday Mood #Happy https://t.co/HtgY6i5y5R
Mon Aug 31 22:14:13 +0000 2020	Sophia_86377	🆂🅾🅿🅷🅸🅰 🆆🅸🅻🅻🅸🅰🅼🆂 👙	If You Haven't Found It, Keep Looking. #Happy https://t.co/HUiEtdhj4x
Mon Aug 31 22:21:24 +0000 2020	Olivia_76632	🅾🅻🅸🆅🅸🅰 🅼🅸🅻🅻🅴🆁 😘	Better Days Are Coming. They Are Called: Friday, Saturday And Sunday. So Get Ready. #Happy https://t.co/cEHM4fq51p
Mon Aug 31 22:45:09 +0000 2020	brachalle	Brachalle Monzon	✨HAPPY BIRTHDAY JUNGKOOK✨ #JungkookDay #happy #JungkookBTS https://t.co/x9L8QLk53y
Mon Aug 31 22:59:06 +0000 2020	ThingsAboutGod	Things About God	Who Says Time Is Closing in on You! ▸https://t.co/UHQ2l8ML3U | #life #death #family #happy #hope #happiness
Mon Aug 31 23:03:04 +0000 2020	eduardorosalez	Eduardo Rosalez	Say So, Doja Cat, VMAs 2020...#love #instagood #photooftheday #happy #picoftheday #like4like #instadaily… https://t.co/4XPS47fphJ
Mon Aug 31 23:04:32 +0000 2020	food_corners	FoodCorners	RT @eduardorosalez: Say So, Doja Cat, VMAs 2020...#love #instagood #photooftheday #happy #picoftheday #like4like #instadaily #selfie #m…
Mon Aug 31 23:21:19 +0000 2020	SparkBestSeller	SparkYourBestSeller	RT @ayerosemendoza: Happy Tuesday morning po!😊 Hello September!💙❤ #1st #september #bermonth #tuesday #mood #sep #vibes #color #happy #col…
Mon Aug 31 23:30:42 +0000 2020	JoanneFreyja	Freyja the Fairy- professional Fairy & Fire Dancer	RT @JoanneFreyja: Inspire happiness #happy #memesdaily #fairystories #Memes #inspirationalquote #inspirational #cosplayergirl #gypsygirl  #…
Mon Aug 31 23:42:52 +0000 2020	BethaneyLatham	Bethaney Latham	Happy 20th Birthday, Allie Ann 💗 Love you so much!                         #daughter #family #babygirl #happy… https://t.co/ib5rckEWPL
