status_id	created_at	text	retweet_count	favorite_count	is_retweet	retweet_created_at
1353931169419599872	Tue Jan 26 05:02:00 +0000 2021	They were promised a week-long journey, but ended up suffering in inhumane conditions on a cramped boat for more th… https://t.co/wF9AC4sszu	80	270	0	
1353885870923902976	Tue Jan 26 02:02:00 +0000 2021	We have a unique chance to change course and put the world on track. The opportunity to end the spiral of destruct… https://t.co/y7yy8aqNs7	92	303	0	
1353878834186215425	Tue Jan 26 01:34:02 +0000 2021	RT @antonioguterres: I was honoured to join Holocaust survivors to mark the 76th anniversary of the liberation of the Auschwitz-Birkenau de…	630	0	1	Tue Jan 26 00:53:54 +0000 2021
1353840824178647040	Mon Jan 25 23:03:00 +0000 2021	The pandemic was impossible to predict. Many of its consequences on peace &amp; security are not.-- UN political ch… https://t.co/2phsACN5pk	79	215	0	
1353825054270910465	Mon Jan 25 22:00:20 +0000 2021	RT @UNFCCC: The #RaceToResilience is a campaign that will catalyse support for frontline communities to build resilience and adapt to impac…	59	0	1	Mon Jan 25 10:21:58 +0000 2021
1353810155092254722	Mon Jan 25 21:01:08 +0000 2021	RT @UNDESA: Get your facts straight on the global economy. Here are the 5 things you need to know about the latest economic trends and what…	88	0	1	Mon Jan 25 16:30:00 +0000 2021
1353796631586611200	Mon Jan 25 20:07:23 +0000 2021	Let us live up to our responsibilities and jointly change course towards a sustainable, fair and resilient future.… https://t.co/oiwh8O0ayg	89	331	0	
1353779574606323712	Mon Jan 25 18:59:37 +0000 2021	RT @UNCTAD: Global foreign direct investment sunk 42% in 2020 to $859bn – the lowest level since the 1990s, according to new @UNCTAD estima…	89	0	1	Sun Jan 24 18:10:43 +0000 2021
1353765071026061315	Mon Jan 25 18:01:59 +0000 2021	RT @ilo: Our new report assesses the damage of the #COVID19 crisis and the numbers are grim. 8.8% of global working hours were lost last ye…	162	0	1	Mon Jan 25 13:52:41 +0000 2021
1353757486763962371	Mon Jan 25 17:31:51 +0000 2021	#COVID19 resulted in the worst economic crisis in 90 years. 2.7 billion workers were affected by lockdown measure… https://t.co/q6xzSVK5OD	92	244	0	
1353734797517062145	Mon Jan 25 16:01:41 +0000 2021	RT @unicefchief: Barely three weeks into the new year, at least 15 children have now been killed in incidents involving explosive weapons a…	110	0	1	Sun Jan 24 13:58:26 +0000 2021
1353720909878743041	Mon Jan 25 15:06:30 +0000 2021	RT @UNOCHA: 🚨 The climate crisis is a humanitarian crisis.We need #ClimateAction now, to save lives and mitigate the worst impacts of cli…	196	0	1	Mon Jan 25 03:02:00 +0000 2021
1353707267984666625	Mon Jan 25 14:12:18 +0000 2021	Ali's life depends on farming, but when floods &amp; desert locusts destroyed his crops, he faced devastation. See ho… https://t.co/CHD3jDRv3x	112	373	0	
1353686172443287552	Mon Jan 25 12:48:28 +0000 2021	RT @UN_Women: Promoting access to reliable and timely data is essential for informing advocacy &amp; policies. The #WomenCount Data Hub provi…	80	0	1	Sun Jan 24 23:35:04 +0000 2021
1353659630488969217	Mon Jan 25 11:03:00 +0000 2021	Cervical cancer can be prevented.Getting vaccinated and regular screenings &amp; treatment can help ensure cervical h… https://t.co/boEvfZsuZv	124	386	0	
1353614331884105728	Mon Jan 25 08:03:00 +0000 2021	This week's Climate Adaptation Summit aims at accelerating, innovating &amp; scaling up global efforts to adapt to the… https://t.co/3EXTkenhwf	281	812	0	
1353569536516227073	Mon Jan 25 05:05:00 +0000 2021	The elimination of nuclear weapons remains the highest disarmament priority of the United Nations.--… https://t.co/sNFsIp022a	237	771	0	
1353524238083387392	Mon Jan 25 02:05:00 +0000 2021	2020 was among the 3 hottest years on record.2011 to 2020 was the warmest decade on record.More from @WMO on in… https://t.co/3P6lk15xEm	243	535	0	
1353478184789045253	Sun Jan 24 23:02:00 +0000 2021	Reproductive rights are human rights.@UNFPA works to promote universal access to sexual &amp; reproductive health &amp; r… https://t.co/rjQGevzw33	160	552	0	
1353387587818450944	Sun Jan 24 17:02:00 +0000 2021	As the world continues to battle the pandemic, education – as a fundamental right and a global public good – must… https://t.co/fYl9vb1LPz	293	819	0	
1353377965841637382	Sun Jan 24 16:23:46 +0000 2021	RT @UNESCO: Happy #EducationDay! 📚📢To all students and teachers! 📢We're celebrating YOU -- all learning heroes around the world  🌍 who…	696	0	1	Sun Jan 24 07:05:03 +0000 2021
1353342792739782663	Sun Jan 24 14:04:00 +0000 2021	Companies who are part of the solution will be rewarded.-- UN Envoy Mark Carney explains how the #RaceToZero carb… https://t.co/sEgTO8VJ5m	179	530	0	
1353322522322890753	Sun Jan 24 12:43:27 +0000 2021	RT @UNICEF: COVID-19 has highlighted deep inequities in education and exacerbated the global learning crisis.This #EducationDay, and ever…	326	0	1	Sun Jan 24 05:15:07 +0000 2021
1353297242711445504	Sun Jan 24 11:03:00 +0000 2021	✏️ Happy #EducationDay 📔 to all students, teachers, parents &amp; other heroes around the world who are ensuring learni… https://t.co/8ioezkALe7	443	1136	0	
1353251692167405568	Sun Jan 24 08:02:00 +0000 2021	Use your creativity to celebrate action for gender equality! 🎨Join @UN_Women's comic and cartoon competition &amp; sh… https://t.co/crzzKj4hJ9	95	329	0	
1353207652008878080	Sun Jan 24 05:07:00 +0000 2021	The #COVID19 crisis caused the largest ever learning disruption, affecting 1.6 billion students worldwide. We nee… https://t.co/oVelJmUWuM	195	532	0	
1353161598521798657	Sun Jan 24 02:04:00 +0000 2021	Taking #ClimateAction and living more sustainably doesn't have to be difficult.The #ActNow app helps you reduce y… https://t.co/LYtzrOVBZj	91	249	0	
1353116551902240768	Sat Jan 23 23:05:00 +0000 2021	A quality education can transform lives by empowering people and helping overcome poverty, inequality &amp; discriminat… https://t.co/OeooPBXNWi	382	1015	0	
1353071504703987714	Sat Jan 23 20:06:00 +0000 2021	I warmly welcome @POTUS @JoeBiden's steps to re-enter the #ParisAgreement &amp; join the growing coalition of governmen… https://t.co/Xoo2OkAwOg	187	863	0	
1353025451673976833	Sat Jan 23 17:03:00 +0000 2021	For more than 73 years, @UNPeacekeeping has been helping to create a more peaceful &amp; prosperous world.More on the… https://t.co/58INlhHy85	91	449	0	
1352980656536641537	Sat Jan 23 14:05:00 +0000 2021	Without a nationality, stateless people are often unable to access basic rights and health care. Amid the #COVID19… https://t.co/W3gQLHS0vx	186	569	0	
1352934351319797760	Sat Jan 23 11:01:00 +0000 2021	The worldwide response to #COVID19 has demonstrated the power of solidarity. People are spreading kindness through… https://t.co/x1btT5459L	200	555	0	
1352889304234790913	Sat Jan 23 08:02:00 +0000 2021	Through the Youth Solidarity Fund, @UNAOC provides seed funding and capacity building support to youth-led organiza… https://t.co/pGKKjj9vBE	59	265	0	
1352846018937675778	Sat Jan 23 05:10:00 +0000 2021	Adaptation to climate change helps protect the world from climate impacts. @UNEP explains why adaptation makes ec… https://t.co/DhK3r6jfQ3	130	396	0	
1352799210740084737	Sat Jan 23 02:04:00 +0000 2021	#COVID19 has created a global mental health crisis. Here are 4 tips for your mental health and ideas on how to he… https://t.co/e8fXMpSuiI	133	352	0	
