Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,43.810001,44.070000,43.279999,44.040001,35.991669,1816200
2016-01-05,43.790001,44.299999,43.590000,44.139999,36.073399,1487100
2016-01-06,43.200001,43.330002,42.040001,42.320000,34.585995,2110400
2016-01-07,41.299999,41.650002,40.099998,40.230000,32.877945,2936200
2016-01-08,40.720001,41.119999,40.040001,40.139999,32.804390,3309300
2016-01-11,40.330002,41.330002,38.930000,39.509998,32.289528,2188900
2016-01-12,40.189999,40.189999,39.060001,39.680000,32.428455,1387100
2016-01-13,40.189999,40.470001,37.900002,38.299999,31.300657,2365500
2016-01-14,38.770000,39.389999,37.689999,38.990002,31.864552,1954800
2016-01-15,37.740002,38.270000,37.029999,37.910000,30.981928,2510800
2016-01-19,38.700001,38.849998,37.180000,37.529999,30.671371,1971900
2016-01-20,36.560001,36.820000,35.220001,36.470001,29.805094,2572100
2016-01-21,36.590000,37.740002,36.380001,36.840000,30.107468,1719400
2016-01-22,37.770000,38.369999,37.529999,38.060001,31.104511,1983000
2016-01-25,37.869999,38.020000,37.150002,37.230000,30.426193,2162500
2016-01-26,37.369999,38.020000,37.330002,37.939999,31.006443,1584400
2016-01-27,37.750000,38.730000,37.259998,37.599998,30.728567,1865500
2016-01-28,38.040001,38.700001,36.990002,37.459999,30.614162,1830900
2016-01-29,37.919998,38.270000,37.389999,38.000000,31.055481,4722100
2016-02-01,37.849998,38.200001,37.209999,37.950001,31.014610,3865900
2016-02-02,34.500000,35.860001,33.090000,35.070000,28.660940,4766400
2016-02-03,35.250000,35.540001,34.299999,35.540001,29.045040,3534600
2016-02-04,35.509998,36.779999,35.209999,36.340000,29.698849,2762800
2016-02-05,36.340000,37.000000,36.029999,36.810001,30.082951,3221800
2016-02-08,36.029999,36.180000,35.259998,35.779999,29.241184,3003100
2016-02-09,34.950001,36.250000,34.950001,35.980000,29.404636,3126000
2016-02-10,36.380001,36.970001,35.459999,36.009998,29.429153,2167700
2016-02-11,34.779999,34.990002,33.720001,34.340000,28.064346,3184300
2016-02-12,35.169998,35.490002,34.599998,35.380001,28.914284,3534400
2016-02-16,36.119999,36.520000,35.549999,36.459999,29.796917,3155600
2016-02-17,37.060001,37.720001,37.060001,37.560001,30.695885,2828700
2016-02-18,37.660000,37.689999,36.930000,37.180000,30.385323,2091800
2016-02-19,36.840000,37.040001,36.419998,36.810001,30.082951,1885500
2016-02-22,37.740002,37.740002,36.990002,37.380001,30.548780,1594900
2016-02-23,37.290001,37.459999,36.830002,36.930000,30.181026,1474200
2016-02-24,36.540001,37.509998,35.730000,37.130001,30.344473,1554400
2016-02-25,37.209999,37.790001,37.070000,37.740002,30.842995,1589300
2016-02-26,37.680000,38.980000,37.520000,38.470001,31.439589,2509200
