select month(from_unixtime(unix_timestamp(CRASH_DATETIME_UTC, "yyyy-MM-dd'T'HH:mm:ss.SSS'Z'"))) as month, hour(from_unixtime(unix_timestamp(CRASH_DATETIME_UTC, "yyyy-MM-dd'T'HH:mm:ss.SSS'Z'"))) as hour, count(*) as total from crash_vehicle group by month(from_unixtime(unix_timestamp(CRASH_DATETIME_UTC, "yyyy-MM-dd'T'HH:mm:ss.SSS'Z'"))), hour(from_unixtime(unix_timestamp(CRASH_DATETIME_UTC, "yyyy-MM-dd'T'HH:mm:ss.SSS'Z'")))  order by month, hour;



1       ,       0       ,       5248
1       ,       1       ,       3024
1       ,       2       ,       2134
1       ,       3       ,       2166
1       ,       4       ,       1616
1       ,       5       ,       1340
1       ,       6       ,       1446
1       ,       7       ,       1161
1       ,       8       ,       1223
1       ,       9       ,       856
1       ,       10      ,       802
1       ,       11      ,       1514
1       ,       12      ,       2908
1       ,       13      ,       5996
1       ,       14      ,       6103
1       ,       15      ,       4658
1       ,       16      ,       4711
1       ,       17      ,       4768
1       ,       18      ,       5461
1       ,       19      ,       5070
1       ,       20      ,       5280
1       ,       21      ,       7659
1       ,       22      ,       6798
1       ,       23      ,       7179
2       ,       0       ,       4877
2       ,       1       ,       3071
2       ,       2       ,       2361
2       ,       3       ,       2065
2       ,       4       ,       1748
2       ,       5       ,       1152
2       ,       6       ,       1225
2       ,       7       ,       1144
2       ,       8       ,       1150
2       ,       9       ,       752
2       ,       10      ,       699
2       ,       11      ,       1205
2       ,       12      ,       2243
2       ,       13      ,       6011
2       ,       14      ,       5671
2       ,       15      ,       4003
2       ,       16      ,       4211
2       ,       17      ,       4470
2       ,       18      ,       5162
2       ,       19      ,       4735
2       ,       20      ,       4918
2       ,       21      ,       6953
2       ,       22      ,       6620
2       ,       23      ,       5835
3       ,       0       ,       2731
3       ,       1       ,       2817
3       ,       2       ,       1937
3       ,       3       ,       1609
3       ,       4       ,       1215
3       ,       5       ,       1064
3       ,       6       ,       1028
3       ,       7       ,       1035
3       ,       8       ,       833
3       ,       9       ,       557
3       ,       10      ,       905
3       ,       11      ,       1797
3       ,       12      ,       3590
3       ,       13      ,       4242
3       ,       14      ,       2864
3       ,       15      ,       2671
3       ,       16      ,       3159
3       ,       17      ,       3794
3       ,       18      ,       3689
3       ,       19      ,       3925
3       ,       20      ,       4887
3       ,       21      ,       5187
3       ,       22      ,       4899
3       ,       23      ,       3448
4       ,       0       ,       1965
4       ,       1       ,       2621
4       ,       2       ,       2144
4       ,       3       ,       1200
4       ,       4       ,       1122
4       ,       5       ,       996
4       ,       6       ,       822
4       ,       7       ,       940
4       ,       8       ,       670
4       ,       9       ,       536
4       ,       10      ,       889
4       ,       11      ,       1627
4       ,       12      ,       3990
4       ,       13      ,       3146
4       ,       14      ,       2483
4       ,       15      ,       2843
4       ,       16      ,       3424
4       ,       17      ,       4111
4       ,       18      ,       3730
4       ,       19      ,       4268
4       ,       20      ,       5901
4       ,       21      ,       5813
4       ,       22      ,       5312
4       ,       23      ,       2950
5       ,       0       ,       2214
5       ,       1       ,       2268
5       ,       2       ,       3083
5       ,       3       ,       1679
5       ,       4       ,       1292
5       ,       5       ,       1197
5       ,       6       ,       935
5       ,       7       ,       1048
5       ,       8       ,       720
5       ,       9       ,       712
5       ,       10      ,       1209
5       ,       11      ,       1479
5       ,       12      ,       3876
5       ,       13      ,       3334
5       ,       14      ,       2731
5       ,       15      ,       3474
5       ,       16      ,       4144
5       ,       17      ,       4929
5       ,       18      ,       4519
5       ,       19      ,       4847
5       ,       20      ,       7222
5       ,       21      ,       6696
5       ,       22      ,       6247
5       ,       23      ,       3508
6       ,       0       ,       2247
6       ,       1       ,       1768
6       ,       2       ,       2998
6       ,       3       ,       2173
6       ,       4       ,       1381
6       ,       5       ,       1189
6       ,       6       ,       982
6       ,       7       ,       1042
6       ,       8       ,       708
6       ,       9       ,       726
6       ,       10      ,       1179
6       ,       11      ,       1340
6       ,       12      ,       2559
6       ,       13      ,       2543
6       ,       14      ,       2569
6       ,       15      ,       3114
6       ,       16      ,       4029
6       ,       17      ,       5014
6       ,       18      ,       4557
6       ,       19      ,       4323
6       ,       20      ,       5005
6       ,       21      ,       5953
6       ,       22      ,       5727
6       ,       23      ,       3195
7       ,       0       ,       2026
7       ,       1       ,       1624
7       ,       2       ,       2406
7       ,       3       ,       2010
7       ,       4       ,       1340
7       ,       5       ,       1136
7       ,       6       ,       839
7       ,       7       ,       880
7       ,       8       ,       666
7       ,       9       ,       587
7       ,       10      ,       1038
7       ,       11      ,       1336
7       ,       12      ,       2174
7       ,       13      ,       2326
7       ,       14      ,       2535
7       ,       15      ,       2947
7       ,       16      ,       3719
7       ,       17      ,       4340
7       ,       18      ,       4191
7       ,       19      ,       4209
7       ,       20      ,       4812
7       ,       21      ,       5514
7       ,       22      ,       5297
7       ,       23      ,       3079
8       ,       0       ,       2173
8       ,       1       ,       1964
8       ,       2       ,       2087
8       ,       3       ,       1444
8       ,       4       ,       1137
8       ,       5       ,       1062
8       ,       6       ,       823
8       ,       7       ,       862
8       ,       8       ,       610
8       ,       9       ,       609
8       ,       10      ,       966
8       ,       11      ,       1259
8       ,       12      ,       3367
8       ,       13      ,       2860
8       ,       14      ,       2502
8       ,       15      ,       3117
8       ,       16      ,       3804
8       ,       17      ,       4730
8       ,       18      ,       4317
8       ,       19      ,       4475
8       ,       20      ,       5367
8       ,       21      ,       5815
8       ,       22      ,       5675
8       ,       23      ,       3143
9       ,       0       ,       2474
9       ,       1       ,       2486
9       ,       2       ,       1720
9       ,       3       ,       1426
9       ,       4       ,       1028
9       ,       5       ,       903
9       ,       6       ,       733
9       ,       7       ,       881
9       ,       8       ,       654
9       ,       9       ,       546
9       ,       10      ,       911
9       ,       11      ,       1712
9       ,       12      ,       5105
9       ,       13      ,       3557
9       ,       14      ,       2509
9       ,       15      ,       2867
9       ,       16      ,       3490
9       ,       17      ,       4208
9       ,       18      ,       4047
9       ,       19      ,       4170
9       ,       20      ,       5962
9       ,       21      ,       6016
9       ,       22      ,       5541
9       ,       23      ,       3319
10      ,       0       ,       3924
10      ,       1       ,       2531
10      ,       2       ,       2034
10      ,       3       ,       1607
10      ,       4       ,       1283
10      ,       5       ,       1110
10      ,       6       ,       862
10      ,       7       ,       1043
10      ,       8       ,       788
10      ,       9       ,       722
10      ,       10      ,       1197
10      ,       11      ,       2444
10      ,       12      ,       5254
10      ,       13      ,       3767
10      ,       14      ,       2784
10      ,       15      ,       2996
