10	1
5	1
6	1
9	3
11	3
0	13
12	22
97	35
13	61
96	63
98	70
95	98
94	162
93	261
92	401
91	523
90	728
89	932
88	1218
87	1368
86	1642
14	1696
85	1843
84	2016
83	2249
82	2420
81	2672
80	2922
79	3001
77	3224
78	3225
76	3515
75	3796
74	3944
73	4367
72	4465
71	4769
70	5265
69	5626
15	5927
68	6201
67	6462
66	6974
65	7615
64	8163
63	8735
62	9268
61	10098
60	10701
59	10884
58	11659
57	11969
56	12353
55	12441
42	12847
54	12909
41	12940
53	12956
43	12972
52	13037
44	13059
50	13090
40	13107
49	13110
45	13125
39	13212
51	13273
46	13286
48	13309
47	13492
38	13607
36	13803
37	13958
35	14413
34	14792
33	15250
32	15796
31	15999
30	16587
29	17205
28	17620
27	18413
26	19320
25	20303
24	21483
23	22682
22	24400
21	25925
16	26551
20	27029
17	27954
19	28356
18	30928
99	80237
