NULL    ,       NULL    ,       91345
Fri     ,       0       ,       6010
Fri     ,       1       ,       4307
Fri     ,       2       ,       3903
Fri     ,       3       ,       3082
Fri     ,       4       ,       2208
Fri     ,       5       ,       1815
Fri     ,       6       ,       1623
Fri     ,       7       ,       1676
Fri     ,       8       ,       1292
Fri     ,       9       ,       1080
Fri     ,       10      ,       1670
Fri     ,       11      ,       2807
Fri     ,       12      ,       6596
Fri     ,       13      ,       7757
Fri     ,       14      ,       6843
Fri     ,       15      ,       6393
Fri     ,       16      ,       7968
Fri     ,       17      ,       9857
Fri     ,       18      ,       9599
Fri     ,       19      ,       9492
Fri     ,       20      ,       12693
Fri     ,       21      ,       14643
Fri     ,       22      ,       12445
Fri     ,       23      ,       10699
Mon     ,       0       ,       4667
Mon     ,       1       ,       4063
Mon     ,       2       ,       3535
Mon     ,       3       ,       2620
Mon     ,       4       ,       1930
Mon     ,       5       ,       1512
Mon     ,       6       ,       1131
Mon     ,       7       ,       1164
Mon     ,       8       ,       1020
Mon     ,       9       ,       956
Mon     ,       10      ,       1728
Mon     ,       11      ,       3220
Mon     ,       12      ,       7239
Mon     ,       13      ,       8455
Mon     ,       14      ,       6891
Mon     ,       15      ,       6156
Mon     ,       16      ,       6874
Mon     ,       17      ,       7876
Mon     ,       18      ,       8093
Mon     ,       19      ,       8265
Mon     ,       20      ,       10368
Mon     ,       21      ,       11889
Mon     ,       22      ,       11026
Mon     ,       23      ,       8464
Sat     ,       0       ,       7371
Sat     ,       1       ,       5459
Sat     ,       2       ,       5109
Sat     ,       3       ,       4346
Sat     ,       4       ,       3587
Sat     ,       5       ,       3185
Sat     ,       6       ,       2761
Sat     ,       7       ,       2706
Sat     ,       8       ,       2133
Sat     ,       9       ,       1474
Sat     ,       10      ,       1569
Sat     ,       11      ,       1847
Sat     ,       12      ,       2515
Sat     ,       13      ,       3019
Sat     ,       14      ,       4448
Sat     ,       15      ,       5771
Sat     ,       16      ,       7267
Sat     ,       17      ,       7636
Sat     ,       18      ,       7636
Sat     ,       19      ,       6944
Sat     ,       20      ,       7007
Sat     ,       21      ,       6822
Sat     ,       22      ,       6272
Sat     ,       23      ,       6250
Sun     ,       0       ,       5718
Sun     ,       1       ,       4762
Sun     ,       2       ,       4739
Sun     ,       3       ,       4228
Sun     ,       4       ,       3529
Sun     ,       5       ,       3189
Sun     ,       6       ,       3077
Sun     ,       7       ,       2833
Sun     ,       8       ,       2366
Sun     ,       9       ,       1574
Sun     ,       10      ,       1447
Sun     ,       11      ,       1394
Sun     ,       12      ,       1687
Sun     ,       13      ,       1810
Sun     ,       14      ,       2594
Sun     ,       15      ,       3501
Sun     ,       16      ,       4388
Sun     ,       17      ,       5310
Sun     ,       18      ,       5470
Sun     ,       19      ,       5303
Sun     ,       20      ,       5362
Sun     ,       21      ,       5566
Sun     ,       22      ,       5241
Sun     ,       23      ,       5235
Thu     ,       0       ,       5818
Thu     ,       1       ,       4150
Thu     ,       2       ,       3595
Thu     ,       3       ,       2498
Thu     ,       4       ,       1807
Thu     ,       5       ,       1465
Thu     ,       6       ,       1344
Thu     ,       7       ,       1316
Thu     ,       8       ,       1218
Thu     ,       9       ,       1046
Thu     ,       10      ,       1644
Thu     ,       11      ,       2882
Thu     ,       12      ,       7131
Thu     ,       13      ,       7814
Thu     ,       14      ,       6474
Thu     ,       15      ,       5897
Thu     ,       16      ,       6683
Thu     ,       17      ,       7778
Thu     ,       18      ,       7583
Thu     ,       19      ,       7894
Thu     ,       20      ,       10430
Thu     ,       21      ,       12475
Thu     ,       22      ,       11805
Thu     ,       23      ,       8938
Tue     ,       0       ,       5908
Tue     ,       1       ,       3982
Tue     ,       2       ,       3513
Tue     ,       3       ,       2490
Tue     ,       4       ,       1755
Tue     ,       5       ,       1402
Tue     ,       6       ,       1189
Tue     ,       7       ,       1229
Tue     ,       8       ,       999
Tue     ,       9       ,       926
Tue     ,       10      ,       1687
Tue     ,       11      ,       3198
Tue     ,       12      ,       8004
Tue     ,       13      ,       9035
Tue     ,       14      ,       7215
Tue     ,       15      ,       5990
Tue     ,       16      ,       6690
Tue     ,       17      ,       8094
Tue     ,       18      ,       7620
Tue     ,       19      ,       7751
Tue     ,       20      ,       10336
Tue     ,       21      ,       12091
Tue     ,       22      ,       11387
Tue     ,       23      ,       8712
Wed     ,       0       ,       5664
Wed     ,       1       ,       3984
Wed     ,       2       ,       3383
Wed     ,       3       ,       2442
Wed     ,       4       ,       1769
Wed     ,       5       ,       1401
Wed     ,       6       ,       1175
Wed     ,       7       ,       1174
Wed     ,       8       ,       1091
Wed     ,       9       ,       961
Wed     ,       10      ,       1643
Wed     ,       11      ,       3091
Wed     ,       12      ,       7423
Wed     ,       13      ,       8588
Wed     ,       14      ,       6877
Wed     ,       15      ,       5936
Wed     ,       16      ,       6684
Wed     ,       17      ,       8090
Wed     ,       18      ,       8362
Wed     ,       19      ,       8191
Wed     ,       20      ,       10188
Wed     ,       21      ,       11345
Wed     ,       22      ,       10975
Wed     ,       23      ,       8679
