Date,Twitter Profile,Followers,Net Follower Growth,Following,Net Following Growth,Published Posts,Impressions,Video Views,Engagements,Likes,@Replies,Retweets,Post Link Clicks,Other Post Clicks,Other Engagements,Engagement Rate (per Impression)
01-30-2020,@kumandgo,"21,722",2,38,1,4,"71,688",278,"7,642",410,9,24,28,"7,169",2,10.7%
01-31-2020,@kumandgo,"21,748",26,39,1,1,"26,582",98,"2,380",104,1,5,21,"2,249",0,9%
02-01-2020,@kumandgo,"21,749",1,39,0,2,"11,819",25,372,19,1,-3,6,349,0,3.1%
02-02-2020,@kumandgo,"21,751",2,39,0,6,"12,294",35,319,37,4,-4,2,280,0,2.6%
02-03-2020,@kumandgo,"21,755",4,40,1,14,"46,707",88,"2,321",205,19,13,4,"1,973",107,5%
02-04-2020,@kumandgo,"21,757",2,40,0,4,"22,950",39,"1,222",148,6,16,14,981,57,5.3%
02-05-2020,@kumandgo,"21,761",4,40,0,7,"11,911",26,353,69,4,4,3,273,0,3%
02-06-2020,@kumandgo,"21,770",9,42,2,5,"73,960",79,"2,156",413,8,34,2,"1,698",1,2.9%
02-07-2020,@kumandgo,"21,799",29,43,1,3,"13,575",27,440,120,5,4,1,310,0,3.2%
02-08-2020,@kumandgo,"21,797",-2,43,0,1,"8,998",4,278,68,7,6,0,196,1,3.1%
02-09-2020,@kumandgo,"21,803",6,43,0,0,"1,957",0,0,0,0,2,0,0,0,0%
